Xmm_RPC1,Ymm_RPC1,Q_RPC1,T_RPC1,EBtime_RPC1,Xmm_RPC2,Ymm_RPC2,Q_RPC2,T_RPC2,EBtime_RPC2,Xmm_RPC3,Ymm_RPC3,Q_RPC3,T_RPC3,EBtime_RPC3,Xmm_RPC4,Ymm_RPC4,Q_RPC4,T_RPC4,EBtime_RPC4
169.1408614966341,98.98450721600028,23.973632809999998,-66.58959961,739913.4597800926,,,,,,,,,,,,,,,
86.05002607501356,37.2243509660003,188.32543945,-60.14086914,739913.4597800926,,,,,,,,,,,,,,,
61.15023450186086,23.6648287214997,26.65258789,-66.92700195500001,739913.4597916667,,,,,,,,,,,,,,,
101.34588302791931,83.2475440720001,17.43725586,-63.37329102,739913.4597916667,,,,,,,,,,,,,,,
70.16097175713037,144.16641525549937,36.757080075,-63.005859375,739913.4597916667,,,,,,,,,,,,,,,
239.60910230325902,4.4538581820006025,31.560302735,-63.47607422,739913.4597916667,,,,,,,,,,,,,,,
115.21246542334859,-27.158632812499995,22.780517574999998,-60.767089845,739913.4597916667,,,,,,,,,,,,,,,
203.3812845267308,-28.2572505964997,43.43798828,-65.107666015,739913.4597916667,,,,,,,,,,,,,,,
232.2873208047257,17.320555880499395,20.05029297,-64.080078125,739913.4598032407,,,,,,,,,,,,,,,
91.95947611553754,-30.622743380500115,19.340820315000002,-62.755371095,739913.4598148149,,,,,,,,,,,,,,,
30.7427932053766,90.8191015625,18.833251955,-65.566894535,739913.4598263889,,,,,,,,,,,,,,,
152.7282585938756,-74.5179827649995,70.28125,-66.22290039,739913.4598263889,,,,,,,,,,,,,,,
91.11730992472846,-94.56034154349979,62.42089843500001,-68.983886715,739913.4598263889,,,,,,,,,,,,,,,
35.564728321685834,145.40359875950008,24.02319336,-62.928955075,739913.4598263889,,,,,,,,,,,,,,,
165.00518462443713,-30.17735877850031,170.1796875,-64.02075195500001,739913.459837963,,,,,,,,,,,,,,,
11.470487912284884,-30.672231572000097,115.532226565,-67.27514647999999,739913.459837963,,,,,,,,,,,,,,,
35.033386652810584,-89.46315004750049,43.791503905,-62.302490235,739913.459837963,,,,,,,,,,,,,,,
70.7526858819628,75.2306009660003,104.87792969,-60.87963867,739913.459837963,,,,,,,,,,,,,,,
229.33693411056726,126.5885256440002,34.52368164,-58.77783203,739913.459849537,,,,,,,,,,,,,,,
169.5470865009832,122.39200220650018,153.369140625,-56.955566405,739913.4598611111,,,,,,,,,,,,,,,
128.1613375921033,26.88150441299967,145.625,-63.20019531,739913.4598611111,,,,,,,,,,,,,,,
160.520008309609,-98.4698397540007,133.951171875,-62.84350586,739913.4598611111,,,,,,,,,,,,,,,
17.050735642548453,118.68045372149969,161.845458985,-69.822509765,739913.4598611111,,,,,,,,,,,,,,,
183.07571224654532,113.96926282200009,63.5703125,-59.38354492,739913.4598611111,,,,,,,,,,,,,,,
99.74195955814872,-54.921010615499895,62.96777343999999,-66.760986325,739913.4598611111,,,,,,,,,,,,,,,
213.92298739115432,31.770850369468913,50.21118163999999,2432.654296875,739913.4598611111,,,,,,,,,,,,,,,
168.9471222398385,15.153012822000091,185.425292965,-65.15356445,739913.4598726851,,,,,,,,,,,,,,,
95.08555378592024,83.3465184279999,165.90234375,-67.60180664,739913.4598726851,,,,,,,,,,,,,,,
95.06781414038514,8.1753024809998,134.478759765,-61.81591797,739913.4598726851,,,,,,,,,,,,,,,
62.21953176544097,-14.588857168499796,138.892822265,-62.454589845,739913.4598726851,,,,,,,,,,,,,,,
223.15756517912925,-28.5046875,184.67578125,-67.484375,739913.4598726851,,,,,,,,,,,,,,,
237.99554413092721,145.7896003695006,150.06201172,-64.067871095,739913.4598726851,,,,,,,,,,,,,,,
104.11692148681882,124.42098157200009,113.368896485,-67.0793457,739913.4598842593,,,,,,,,,,,,,,,
39.17707320723264,60.978256202499495,32.551025395,-66.720947265,739913.4598842593,,,,,,,,,,,,,,,
76.19217055539511,89.0870462785003,152.51098632999998,-62.826416015,739913.4598842593,,,,,,,,,,,,,,,
115.10420965497666,45.5382181535003,130.87988281000003,-60.838134765,739913.4598958333,,,,,,,,,,,,,,,
127.04127161896868,-68.53002003799969,13.599609375,-64.42285156,739913.4598958333,,,,,,,,,,,,,,,
64.64904770310392,90.2747405774995,19.47338867,-64.458740235,739913.4598958333,,,,,,,,,,,,,,,
137.64418415317957,95.37193410050038,59.032958980000004,-65.912597655,739913.4599074074,,,,,,,,,,,,,,,
112.32403675702278,109.03042968749999,34.99169922,-68.133300785,739913.4599074074,,,,,,,,,,,,,,,
11.225613736860542,-36.26429687499999,145.14550781,-66.33154297,739913.4599074074,,,,,,,,,,,,,,,
36.3953109955187,-100.2018940244996,37.899414065,-70.971191405,739913.4599074074,,,,,,,,,,,,,,,
94.09486007915396,144.6118018845001,130.423339845,-58.563232425,739913.4599189815,,,,,,,,,,,,,,,
171.79428805767736,2.682212547500493,145.587890625,-66.63793945500001,739913.4599189815,,,,,,,,,,,,,,,
129.7988239392469,-128.4591456345001,155.10180664,-64.69555664500001,739913.4599189815,,,,,,,,,,,,,,,
54.684591261793514,-73.03336438450009,114.958984375,-66.48950195500001,739913.4599189815,,,,,,,,,,,,,,,
27.03185968053573,68.1539162690002,20.348876955,-68.95068359,739913.4599189815,,,,,,,,,,,,,,,
111.45689975607564,-54.03023938450009,157.16088867000002,-61.569580075,739913.4599305555,,,,,,,,,,,,,,,
232.21280324001404,15.8359375,34.58325195,-67.14111328,739913.4599305555,,,,,,,,,,,,,,,
1.5020779575868666,-1.9201071684997966,9.489501949999998,-65.200195315,739913.4599305555,,,,,,,,,,,,,,,
70.68441863491279,-3.058315302999897,141.30981445499998,-62.9831543,739913.4599305555,,,,,,,,,,,,,,,
176.84203076254875,94.03577624049989,35.153564455,-60.952392575,739913.4599305555,,,,,,,,,,,,,,,
225.1709350385907,47.65627504749978,23.423583985,-59.619873045000006,739913.4599421297,,,,,,,,,,,,,,,
212.50914335502424,-37.0659905774995,47.58129883000001,-62.786865235,739913.4599421297,,,,,,,,,,,,,,,
173.4202557952698,-93.12521034100031,122.59423828499999,-61.43823242,739913.4599421297,,,,,,,,,,,,,,,
165.52662454990468,117.69070813450008,178.790283205,-57.091552735,739913.4599421297,,,,,,,,,,,,,,,
146.97386742793148,-51.308437500000004,134.345214845,-60.17822266,739913.4599537037,,,,,,,,,,,,,,,
209.8219804510045,42.06420873100052,11.33959961,-64.55712891,739913.4599537037,,,,,,,,,,,,,,,
190.3434224951457,-45.973705927999895,41.87084961,-64.01831055,739913.4599652778,,,,,,,,,,,,,,,
69.83249139530089,131.25022936549988,117.258789065,-62.990478515,739913.4599768518,,,,,,,,,,,,,,,
138.37884163209947,-38.44173878800041,119.49707031000001,-65.85498047,739913.459988426,,,,,,,,,,,,,,,
