2025 07 16 13 28 00  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 -115.3824 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0088.5166 0000.0000   0000.0000 0000.0000 -120.1716 0000.0000  0000.0000 0000.0000 -119.4558 0000.0000   0000.0000 0000.0000 0099.7664 0000.0000  0000.0000 0000.0000 0103.0544 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 28 01  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 -120.5276 0000.0000  0000.0000 0000.0000 -122.1978 0000.0000   0000.0000 0000.0000 0096.3900 0000.0000  0000.0000 0000.0000 0088.2261 0000.0000   0000.0000 0000.0000 -126.4667 0000.0000  0000.0000 0000.0000 -126.3491 0000.0000   0000.0000 0000.0000 0098.5032 0000.0000  0000.0000 0000.0000 0101.6004 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 28 01  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 -115.7511 0000.0000 0000.0000  0000.0000 -117.6789 0000.0000 0000.0000   0000.0000 0098.4402 0000.0000 0000.0000  0000.0000 0097.5315 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 -118.4783  0000.0000 0000.0000 0000.0000 -119.2883   0000.0000 0000.0000 0000.0000 0091.5565  0000.0000 0000.0000 0000.0000 0094.4561   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 28 02  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 -120.0668  0000.0000 0000.0000 0000.0000 -119.9996   0000.0000 0000.0000 0000.0000 0089.6695  0000.0000 0000.0000 0000.0000 0092.8347   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 -118.7752 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0092.7590 0000.0000
2025 07 16 13 28 02  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   -116.3616 0000.0000 0000.0000 0000.0000  -118.4024 0000.0000 0000.0000 0000.0000   0098.2278 0000.0000 0000.0000 0000.0000  0107.1399 0000.0000 0000.0000 0000.0000   0000.0000 -120.3846 0000.0000 0000.0000  0000.0000 -117.6021 0000.0000 0000.0000   0000.0000 0099.7188 0000.0000 0000.0000  0000.0000 0100.1420 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 28 04  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 -122.5200 0000.0000 0000.0000  0000.0000 -120.4114 0000.0000 0000.0000   0000.0000 0097.6458 0000.0000 0000.0000  0000.0000 0098.1744 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  -118.6743 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0092.9052 0000.0000 0000.0000 0000.0000
2025 07 16 13 28 06  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 -119.9069 -118.5772 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0094.9786 0095.6950 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   -125.0299 0000.0000 0000.0000 0000.0000  -122.6747 0000.0000 0000.0000 0000.0000   0107.8482 0000.0000 0000.0000 0000.0000  0112.5207 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 28 07  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   -120.9656 0000.0000 0000.0000 0000.0000  -118.8056 0000.0000 0000.0000 0000.0000   0095.1351 0000.0000 0000.0000 0000.0000  0099.4191 0000.0000 0000.0000 0000.0000   0000.0000 -119.1391 0000.0000 0000.0000  0000.0000 -119.0013 0000.0000 0000.0000   0000.0000 0094.5238 0000.0000 0000.0000  0000.0000 0096.9713 0000.0000 0000.0000
2025 07 16 13 28 08  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 -117.8721 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0088.5892 0000.0000   0000.0000 -121.3221 0000.0000 0000.0000  0000.0000 -119.5192 0000.0000 0000.0000   0000.0000 0101.4062 0000.0000 0000.0000  0000.0000 0101.9574 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 13 28 08  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 -120.1306  0000.0000 0000.0000 0000.0000 -125.0622   0000.0000 0000.0000 0000.0000 0099.8976  0000.0000 0000.0000 0000.0000 0099.4155   -126.8182 0000.0000 0000.0000 0000.0000  -125.1959 0000.0000 0000.0000 0000.0000   0112.6611 0000.0000 0000.0000 0000.0000  0117.3548 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
